0|12345678|RDF 1|Veritable Vegetable|06/01/2022|WHSO10|00818181024520|White Spring Onions| 10 lbs/cs|2.0|45.0
0|12345678|RDF 1|Veritable Vegetable|06/01/2022|LG10|00818181023585|Little Gem Lettuce| 10 lbs/cs|3.0|63.0
0|12345678|RDF 1|Veritable Vegetable|06/01/2022|PTT25|00818181027514|Purple Top Turnips| 25 lbs/cs|2.0|25.0
0|12345678|RDF 1|Veritable Vegetable|06/01/2022|CAR24|00818181020706|Carrots| 24 bu/cs|4.0|75.0
1|Daniel|RDF 2|Good Egg|06/01/2022|GRG10|00818181022021|Green Garlic| 10 lbs/cs|2.0|90.0
1|Daniel|RDF 2|Good Egg|06/01/2022|CAR25|00818181020713|Loose Carrots| 25 lbs/bag|4.0|75.0
2|M|Mkt|Maya|06/03/2022|GRG10|00818181022021|Green Garlic| 10 lbs/cs|1.0|89.0
2|M|Mkt|Maya|06/03/2022|PTT25|00818181027514|Purple Top Turnips| 25 lbs/cs|2.0|25.0
2|M|Mkt|Maya|06/03/2022|BRROM10|00818181023523|Baby Red Romaine Lettuce| 10 lbs/cs|3.0|15.0
2|M|Mkt|Maya|06/03/2022|ARU3|00818181022175|Arugula| 3 lbs/cs|2.0|45.0
